pmid,title,abstract
38885923,Glucose-induced endocytic degradation of the maltose transporter MalP is mediated through ubiquitination by the HECT-ubiquitin ligase HulA and its adaptor CreD in Aspergillus oryzae.,"In the filamentous fungus Aspergillus oryzae, large amounts of amylolytic enzymes are inducibly produced by isomaltose, which is converted from maltose incorporated via the maltose transporter MalP. In contrast, the preferred sugar glucose strongly represses the expression of both amylolytic and malP genes through carbon catabolite repression. Simultaneously, the addition of glucose triggers the endocytic degradation of MalP on the plasma membrane. In budding yeast, the signal-dependent ubiquitin modification of plasma membrane transporters leads to selective endocytosis into the vacuole for degradation. In addition, during glucose-induced MalP degradation, the homologous of E6AP C-terminus-type E3 ubiquitin ligase (HulA) is responsible for the ubiquitin modification of MalP, and the arrestin-like protein CreD is required for HulA targeting. Although CreD-mediated MalP internalization occurs in response to glucose, the mechanism by which CreD regulates HulA-dependent MalP ubiquitination remains unclear. In this study, we demonstrated that three (P/L)PxY motifs present in the CreD protein are essential for functioning as HulA adaptors so that HulA can recognize MalP in response to glucose stimulation, enabling MalP internalization. Furthermore, four lysine residues (three highly conserved among Aspergillus species and yeast and one conserved among Aspergillus species) of CreD were found to be necessary for its ubiquitination, resulting in efficient glucose-induced MalP endocytosis. The results of this study pave the way for elucidating the regulatory mechanism of MalP endocytic degradation through ubiquitination by the HulA-CreD complex at the molecular level."
38885924,Bifidobacterium bifidum strain BB1 inhibits TNF-α-induced increase in intestinal epithelial tight junction permeability via TLR-2/TLR-6 receptor complex-dependent stimulation of PPAR-γ and suppression of NF-kB p65.,"Bifidobacterium bifidum (BB) strain BB1 causes a strain-specific enhancement in intestinal epithelial tight junction (TJ) barrier. TNF-α induces an increase in intestinal epithelial TJ permeability and promotes intestinal inflammation. The major purpose of this study was to delineate the protective effect of BB1 against the TNF-α induced increase in intestinal TJ permeability and to unravel the intracellular mechanisms involved. Previously reported, TNF-α produces an increase in intestinal epithelial TJ permeability in Caco-2 monolayers and in mice. The addition of BB1 inhibited the TNF-α increase in Caco-2 intestinal TJ permeability and mouse intestinal permeability in a strain-specific manner. BB1 inhibited the TNF-α induced increase in intestinal TJ permeability by interfering the with TNF-α induced enterocyte NF-κB p50/p65 and MLCK gene activation. The BB1 protective effect against the TNF-α induced increase in intestinal permeability was mediated by TLR-2/TLR-6 heterodimer complex activation of PPAR-γ and PPAR-γ pathway inhibition of TNF-α induced IKK-α activation, which in turn resulted in a step-wise inhibition of NF-κB p50/p65, MLCK gene, MLCK kinase activity, MLCK-induced opening of the TJ barrier. In conclusion, these studies unravel novel intracellular mechanisms of BB1 protection against the TNF-α induced increase in intestinal TJ permeability. Our data show that BB1 protects against the TNF-α induced increase in intestinal epithelial TJ permeability via a PPAR-γ dependent inhibition of NF-κB p50/p65 and MLCK gene activation."
38887902,DifferentialRegulation: a Bayesian hierarchical approach to identify differentially regulated genes.,"Although transcriptomics data is typically used to analyze mature spliced mRNA, recent attention has focused on jointly investigating spliced and unspliced (or precursor-) mRNA, which can be used to study gene regulation and changes in gene expression production. Nonetheless, most methods for spliced/unspliced inference (such as RNA velocity tools) focus on individual samples, and rarely allow comparisons between groups of samples (e.g. healthy vs. diseased). Furthermore, this kind of inference is challenging, because spliced and unspliced mRNA abundance is characterized by a high degree of quantification uncertainty, due to the prevalence of multi-mapping reads, ie reads compatible with multiple transcripts (or genes), and/or with both their spliced and unspliced versions. Here, we present DifferentialRegulation, a Bayesian hierarchical method to discover changes between experimental conditions with respect to the relative abundance of unspliced mRNA (over the total mRNA). We model the quantification uncertainty via a latent variable approach, where reads are allocated to their gene/transcript of origin, and to the respective splice version. We designed several benchmarks where our approach shows good performance, in terms of sensitivity and error control, vs. state-of-the-art competitors. Importantly, our tool is flexible, and works with both bulk and single-cell RNA-sequencing data. DifferentialRegulation is distributed as a Bioconductor R package."
38886966,"Exploring the Interplay between Vitamin D, Insulin Resistance, Obesity and Skeletal Health.","Vitamin D (ViD), plays an important role in calcium absorption and bone mineralization, is associated with bone mineral density. Severe deficiency in ViD has long been linked to conditions such as rickets in children and osteomalacia in adults, revealing its substantial role in skeletal health. Additionally, investigations show an existing interconnection between ViD and insulin resistance (Ins-R), especially in patients with type 2 diabetes mellitus (T2DM). Obesity, in conjunction with Ins-R, may augment the risk of osteoporosis and deterioration of skeletal health. This review aims to examine recent studies on the interplay between ViD, Ins-R, obesity, and their impact on skeletal health, to offer insights into potential therapeutic strategies. Cochrane Library, Google Scholar, and Pubmed were searched to investigate relevant studies until December 2023. Current research demonstrates ViD's impact on pancreatic β-cell function, systemic inflammation, and insulin action regulation. Our findings highlight an intricate association between ViD, Ins-R, obesity, and skeletal health, providing a perspective for the prevention and/or treatment of skeletal disorders in patients with obesity, Ins-R, and T2DM."
38887533,Feasibility of a virtual reality course on adult tracheostomy safety skills.,"The National Tracheostomy Safety Project has run high-quality, face-to-face skills courses since 2009. The aim of this project was to produce a virtual reality version of the established course and evaluate its impact on participant learning, and participant and faculty satisfaction. Healthcare staff and students were recruited and randomised to attend one of (1) a face-to-face traditional course (control); (2) a virtual reality course at a conference centre with on-site technical support; (3) a fully remote virtual reality course; the virtual reality groups were combined for the analysis of learning outcomes and satisfaction. The primary outcome was the difference in pre/post-course knowledge scores on a 30-item questionnaire; secondary outcomes included knowledge retention, usability, comfort/side effects and participant performance in a simulated tracheostomy emergency. Thirty-seven participants and 15 faculty participated in this study. There was no significant difference between mean pre/post-course scores from the face-to-face (from 21.1 to 23.1; +2) and combined virtual reality (from 17.1 to 21.1; +4) groups, with both showing improvement (p = 0.21). The mean System Usability Scale score for virtual reality was 76.8 (SD 12.6), which is above average; the median Simulator Sickness Questionnaire score was 7.5 (IQR 3.7-22.4), indicating minimal symptoms. All participants resolved the primary clinical problem in the simulated emergency, but the virtual reality (VR) group was slower overall (mean difference 61.8 s, p = 0.003). This technical feasibility study demonstrated that there was no difference in participant knowledge immediately after and 4 weeks following face-to-face and virtual reality courses. Virtual reality offers an immersive experience that can be delivered remotely and offers potential benefits of reducing travel and venue costs for attendees, therefore increasing the flexibility of training opportunities."
38887745,Breaking the Cycle: Addressing Period Poverty as a Critical Public Health Challenge and Its Relation to Sustainable Development Goals.,"This narrative review comprehensively examines the intricate relationship between period poverty and the Sustainable Development Goals (SDGs), positioning it as a critical public health challenge with far-reaching implications. Through an in-depth analysis of the multifaceted impact of period poverty on public health, including its effects on reproductive health, mental well-being, and economic participation, the paper underscores the urgent need to address this issue within the framework of the SDGs. An overview of existing literature on period poverty, its impact on health and well-being, and its relation to the SDGs was carried out. Different perspectives, interventions, and policy approaches to addressing period poverty were also explored. By illuminating the interplay between period poverty and various SDGs, particularly those related to gender equality, health, education, and economic empowerment, the study emphasizes the imperative of integrating menstrual health and hygiene into global development efforts. Advocating for targeted policies, funding, and advocacy, the manuscript calls for a holistic and inclusive approach to breaking the cycle of period poverty, ultimately contributing to advancing the SDGs and fostering a more equitable and healthier global society. Efforts to eradicate period poverty - providing affordable menstrual products, improving sanitation infrastructure, enhancing education, and implementing supportive policies - lead to significant progress in public health and gender equity. By prioritizing menstrual health management in public health policies, educational programs, and economic strategies, we can ensure that everyone who menstruates can do so with dignity and without limits on their potential."
38886253,Assessing the relationship between delay discounting and decisions to engage in various protective behaviors during COVID-19.,"Research suggests that discounting of delayed rewards (i.e., tendency to choose smaller immediate rewards over large later rewards) is a promising target of intervention to encourage compliance with public health measures (PHM), such as vaccination compliance. The effects of delay discounting, however, may differ across the types of PHMs, given that the benefits of vaccination, unlike other PHMs (physical distancing, handwashing, and mask-wearing), are more temporally delayed. Here, we examined whether delay discounting predicts engaging in COVID-19 PHMs in approximately 7,000 participants recruited from 13 countries in June-August 2021. After controlling for demographic and distress variables, delay discounting was a negative predictor of vaccination, but a positive predictor of physical distancing (when restrictions are in place) and handwashing. There was no significant association between delay discounting and frequency of mask-wearing. It is possible that increasing vaccination compliance may require greater emphasis on future benefits of vaccination, whereas promotion of physical distancing and hand hygiene may require greater focus on the present moment. Further research is needed to investigate the nature of this relationship and its implications for public health messaging."
38885959,The pandemic preterm paradox: A test of competing explanations.,"Epidemiologists have long argued that side effects of the stress response include preterm birth. Research reports that fear of lethal infection stressed pregnant persons at the outset of the COVID-19 pandemic and that ""shutdowns"" and ""social distancing"" impeded access to social support and prenatal care. The decline in preterm births in high-income countries, including the United States (US), during the early months of the pandemic therefore poses a paradox for science. Explanations of this ""pandemic preterm paradox"" remain untested. We apply time-series modeling to data describing 80 monthly conception cohorts begun in the US from July 2013 through February 2020 to determine which of 3 explanations most parsimoniously explains the paradox. We infer that ""prior loss,"" or the argument that an increase in spontaneous abortions and stillbirths depleted the population of fetuses at risk of preterm birth, best explains data currently available. We describe the implications of these results for public health practice."
38888001,Obstructive sleep apnea may induce sleep-wake cycle dysregulation: An actigraphic study.,"Obstructive sleep apnea (OSA) causes sleep fragmentation and excessive daytime sleepiness (EDS). OSA has been hypothesised to impair the circadian sleep-wake rhythm, and this dysregulation may in turn exacerbate OSA-related diurnal symptoms. Hence, this study aimed to assess the sleep-wake rhythm through actigraphy, and its relationship with EDS in patients with untreated OSA. Patients with moderate-severe OSA (apnea-hypopnea index ≥15/h) and healthy controls (HC) underwent a 7-day actigraphic recording to evaluate the sleep-wake rhythm. Participants underwent a sleep medicine visit and completed the self-report questionnaires assessing EDS (Epworth sleepiness scale, ESS), sleep quality (Pittsburgh sleep quality index, PSQI), and chronotype (morningness-eveningness questionnaire, MEQ). This study included 48 OSA patients (72.9% males; mean age 56.48 ± 9.53 years), and 22 HC (45.5% males; mean age 53.73 ± 18.20 years). After controlling for MEQ scores, actigraphic recording showed that the OSA patients present a lower sleep time (p = 0.011) and sleep efficiency (p = 0.013), as well as a higher sleep latency (p = 0.047), and sleep fragmentation (p = 0.029) than the HC. Regarding the sleep-wake rhythm actigraphic parameters, the OSA patients showed a lower average activity during the most active 10-hour period (p = 0.036) and a lower day/night activity ratio (p = 0.007) than the HC. Patients with OSA also reported higher ESS (p = 0.005) and PSQI scores (p < 0.001), and a chronotype less of morning type (p = 0.027) than the HC. In conclusion, this study documented a reduced diurnal motor activity and lower day/night activity ratio in OSA patients than in controls. These findings suggest a dysregulation of the circadian sleep-wake rhythm in OSA, possibly related to both EDS and reduced daytime motor activity."
38886382,Topoisomerase I is an evolutionarily conserved key regulator for satellite DNA transcription.,"RNA Polymerase (RNAP) II transcription on non-coding repetitive satellite DNAs plays an important role in chromosome segregation, but a little is known about the regulation of satellite transcription. We here show that Topoisomerase I (TopI), not TopII, promotes the transcription of α-satellite DNAs, the main type of satellite DNAs on human centromeres. Mechanistically, TopI localizes to centromeres, binds RNAP II and facilitates RNAP II elongation. Interestingly, in response to DNA double-stranded breaks (DSBs), α-satellite transcription is dramatically stimulated in a DNA damage checkpoint-independent but TopI-dependent manner, and these DSB-induced α-satellite RNAs form into strong speckles in the nucleus. Remarkably, TopI-dependent satellite transcription also exists in mouse 3T3 and Drosophila S2 cells and in Drosophila larval imaginal wing discs and tumor tissues. Altogether, our findings herein reveal an evolutionally conserved mechanism with TopI as a key player for the regulation of satellite transcription at both cellular and animal levels."
